kms,precio
6048,1385956
11825,1297582
20000,1000000
21048,1284844
21549,685300
21613,1342000
24184,1207484
25000,1005000
27027,655402
27863,814000
27863,814000
29189,914936
29197,712074
34340,840400
34340,840400
41827,1227600
43613,600424
47356,857736
48312,626098
48312,626098
54050,921800
54050,921800
62501,704861
65004,635000
75969,509718
79060,565158
79234,637758
79743,560846
86529,747076
91919,681758
91919,681758
100741,647812
103098,515768
117084,755014
120001,600041
130075,721534
131757,791560
133417,741560
136184,695002
