pais,continente,km2,poblacion_miles
China,Asia,9600000,1409517
India,Asia,3287263,1339180
United States of America,America,9833517,324460
Indonesia,Asia,1910931,263991
Brazil,America,8515767,209288
Pakistan,Asia,796095,197016
Nigeria,Africa,923768,190886
Bangladesh,Asia,147570,164670
Russian Federation,Europa,17098246,143990
Mexico,America,1964375,129163
Japan,Asia,377930,127484
Ethiopia,Africa,1104300,104957
Philippines,Asia,300000,104918
Egypt,Africa,1002000,97553
Viet Nam,Asia,330967,95541
Germany,Europa,357376,82114
Democratic Republic of the Congo,Africa,2344858,81340
Iran (Islamic Republic of),Asia,1628750,81163
Turkey,Asia,783562,80745
Thailand,Asia,513120,69038
United Kingdom,Europa,242495,66182
France,Europa,551500,64980
Italy,Europa,302073,59360
United Republic of Tanzania,Africa,947303,57310
South Africa,Africa,1221037,56717
Myanmar,Asia,676577,53371
Republic of Korea,Asia,100284,50982
Kenya,Africa,591958,49700
Colombia,America,1141748,49066
Spain,Europa,505944,46354
Argentina,America,2780400,44271
Ukraine,Europa,603500,44223
Uganda,Africa,241550,42863
Algeria,Africa,2381741,41318
Sudan,Africa,,40533
Iraq,Asia,435052,38275
Poland,Europa,312679,38171
Canada,America,9984670,36624
Morocco,Africa,446550,35740
Afghanistan,Asia,652864,35530
Saudi Arabia,Asia,2206714,32938
Peru,America,1285216,32166
Venezuela (Bolivarian Republic of),America,912050,31977
Uzbekistan,Asia,448969,31911
Malaysia,Asia,330323,31624
Angola,Africa,1246700,29784
Mozambique,Africa,799380,29669
Nepal,Asia,147181,29305
Ghana,Africa,238537,28834
Yemen,Asia,527968,28250
Madagascar,Africa,587295,25571
Democratic People's Republic of Korea,Asia,120538,25491
Australia,Oceania,7692060,24451
Cameroon,Africa,475650,24054
Niger,Africa,1267000,21477
Sri Lanka,Asia,65610,20877
Romania,Europa,238391,19679
Burkina Faso,Africa,272967,19193
Malawi,Africa,118484,18622
Mali,Africa,1240192,18542
Syrian Arab Republic,Asia,185180,18270
Kazakhstan,Asia,2724902,18204
Chile,America,756102,18055
Zambia,Africa,752612,17094
