ingreso,carros
22273.577534,3
8961.047249,1
7437.977263,2
12064.91529,2
9296.396167,1
11666.08726,3
9517.651813,3
7529.944441,2
11934.46147,0
10002.62326,1
9108.724524,1
11143.32352,1
10704.29149,3
10054.43389,2
16550.69988,0
6215.086309,3
7875.498898000002,2
10733.61264,0
10551.84896,0
12831.64291,1
5042.026418,0
11546.3496,0
10506.08741,3
15335.20661,1
8892.001955,1
8083.690912,0
7095.116109000001,3
9850.52026,1
9953.525773,2
11112.12012,3
9074.811772,3
5426.205314,2
7686.794434,1
10266.47204,0
5685.523789,2
14402.464,2
9628.814396,3
10604.28952,1
10191.24051,3
10461.69193,3
12188.84418,3
10773.7327,3
11481.61654,2
17661.023080000006,1
12019.64756,2
9283.261684,0
8633.691315,0
11582.63781,3
7443.5370969999985,1
8415.652695,3
8568.203258,2
8697.827987,3
6084.931971,0
5299.60292,3
4747.021003,1
10102.81277,0
11288.66334,1
15088.92619,3
5396.852697,3
11789.29057,1
8568.574217,2
8067.247740000002,1
8024.131904000002,1
11324.17402,2
7982.813888,0
8835.495656000001,0
15387.14081,1
8497.312386,2
9738.75136,2
10086.94722,0
9117.732304,0
8480.367085,3
9665.570122,1
10841.51857,1
13153.12132,1
14843.24934,1
8779.194125,0
9625.302356,3
12076.53805,2
10511.92843,3
5387.057935,3
13953.91379,1
12350.7032,3
9804.832873,3
5529.740085,0
11287.66762,2
13977.1749,2
7375.862502,3
9716.705399,1
7262.032643,2
12149.40423,2
11331.60587,2
11133.44766,1
12014.15682,0
9022.064498,2
18624.0598,3
13339.65282,3
10137.23742,0
5877.95194,0
7093.321048999999,3
10803.30067,1
12027.66012,1
9978.307621,3
11174.03518,2
6655.700336,0
10432.90891,0
8540.491979999999,3
11556.47973,1
9040.791381,0
9759.532193,2
8254.784034,2
9133.427984,2
7593.3598280000015,3
12884.10393,3
12957.73876,0
8723.814912,2
10146.63295,1
11937.58639,1
10901.52166,3
6519.939161,3
12941.10141,3
13410.24459,2
7657.060316,1
10561.64604,2
10499.24146,2
7987.810243999998,0
11532.80579,3
4907.357872,0
7929.375911,1
10481.96159,2
9169.973805,1
12220.60594,0
9308.480962,2
8993.468927,0
10660.29392,0
12548.49873,0
11259.67602,0
6057.174421,0
8940.773491,0
9899.303901,2
11435.32345,2
11010.64278,1
7477.92607,2
10926.46875,1
9979.371154,1
10374.06358,1
7170.454065000001,1
10688.97956,3
9232.457266,1
7775.759758,0
10920.52696,1
12446.00092,1
9285.819478,0
9772.848406,2
7872.374133,2
10646.47814,2
9467.68847,0
10120.65806,2
9387.617094,1
9972.553186,2
4851.448066,2
13626.63421,0
10454.23524,0
13497.92284,3
5806.573757,2
13816.642780000002,1
7103.11288,0
10291.38523,1
9404.133599,0
8524.262432,2
9010.907829,2
10512.07018,2
11661.90147,1
12420.63307,1
5250.133028,2
10105.64651,0
10309.29654,2
10446.74484,2
7996.981047,0
10284.01353,1
4196.538823,1
12637.17113,1
13054.78682,1
11808.39039,2
11147.36381,0
11354.32364,1
11626.40921,3
7899.944170000002,1
9879.789888,3
10367.03337,1
9262.476872,0
8969.968773999999,0
11061.35562,3
9081.697317,1
10912.34111,1
8267.822964,2
7269.387389,1
9705.802055,1
18268.98404,3
11771.16549,3
6178.455467,0
10723.99959,2
12891.09089,2
10961.58582,2
11480.91712,1
9518.316945,2
7335.9521989999985,3
20032.23692,0
14027.94421,1
9602.471067,1
12563.76111,2
5362.298127,1
13599.16229,3
9450.472209,0
10922.03113,1
12002.58065,2
7398.921147,1
10178.03921,1
6522.111643,3
11881.24642,1
7066.22985,1
5684.700508,1
12097.64119,0
12144.54472,3
11642.39424,2
8444.743262,0
10808.44026,2
11400.4703,1
11529.13405,2
9097.285066,2
10418.63038,3
12416.61072,0
8507.091372,0
10053.31815,1
7278.225809,2
11397.56461,0
7366.193745999999,0
6588.51446,1
12621.7724,1
8655.540193,2
8497.428116,1
12257.69493,1
7501.950366,1
8112.745553,1
7067.791126000001,0
9758.944923,1
9596.266222,1
9987.573033,1
10520.26276,0
6981.210323,0
10006.70462,1
9206.1873,0
7830.553415,2
10391.00091,1
9010.672029,0
8534.6792930000011,2
9177.58993,2
9167.364602,2
11167.68147,0
7020.984493999998,0
9054.200785,2
10571.8606,1
14973.09371,3
10211.86892,0
10202.06316,0
14630.64138,1
12746.13572,3
10522.76742,1
6253.740167,0
6245.354893,1
12358.54327,2
16749.071340000002,0
8959.853348,1
12947.29622,0
11040.80195,2
6525.9992200000015,1
6818.606605,3
13200.86908,3
9835.789436,2
8011.652112000002,1
10761.73074,3
10553.47374,2
6727.231481999999,3
12572.8792,0
14220.20915,3
6973.934451000001,0
8649.059609,1
12453.55713,0
11265.49269,1
10494.35556,0
