edad,estudio,genero,tipo_trabajo,horas,ingreso
27,9,0,0,40,0
30,9,0,0,40,0
34,8,0,0,40,0
26,13,0,0,50,0
23,4,1,0,25,0
20,10,1,0,40,0
21,10,0,0,15,0
42,9,1,0,40,1
68,9,1,1,25,0
41,10,1,0,40,1
49,3,0,0,20,0
31,10,1,0,40,0
66,11,0,0,30,0
58,9,0,0,40,0
34,13,1,1,55,0
63,13,1,1,40,0
80,9,1,1,30,0
67,16,1,0,60,1
17,8,1,0,15,0
31,13,1,0,40,1
58,4,1,1,40,0
25,10,1,1,40,0
59,9,1,1,40,0
70,5,0,0,40,0
35,13,1,1,60,0
28,9,1,0,50,0
28,9,1,0,45,1
21,10,1,0,25,0
30,9,1,1,60,0
59,10,0,1,40,0
20,9,1,0,40,0
45,4,1,0,10,0
76,4,0,0,12,0
30,6,1,0,55,0
54,9,1,1,40,1
19,10,0,1,30,0
44,16,1,0,50,1
31,10,1,0,40,0
47,9,1,0,40,0
37,9,1,1,40,0
59,13,1,0,40,1
27,7,1,1,40,0
24,9,1,0,40,0
49,10,1,0,44,1
36,14,1,0,60,1
54,13,1,1,40,1
44,10,0,0,32,0
35,10,1,0,60,0
19,9,0,1,35,0
71,9,1,0,45,1
20,10,0,0,40,0
62,9,0,1,30,0
35,9,1,1,60,0
64,5,1,1,40,0
53,1,1,0,40,0
30,10,0,0,40,0
34,13,0,0,39,0
62,13,1,0,1,1
21,10,0,1,40,0
42,9,1,0,40,0
26,10,1,0,52,1
43,10,0,0,35,0
28,13,0,0,35,0
23,13,0,0,30,0
56,9,1,1,50,0
19,10,1,1,24,0
21,9,0,0,40,0
30,14,1,0,30,0
58,13,1,0,40,0
40,9,0,0,40,0
21,10,1,0,50,0
25,5,1,0,40,0
63,14,1,1,40,1
50,14,1,1,45,0
29,9,1,1,45,0
50,9,1,1,40,0
27,14,0,0,40,0
19,5,1,0,40,0
52,16,1,1,70,1
33,9,0,1,55,0
38,10,0,1,50,0
34,10,0,1,72,0
49,9,1,0,40,0
36,10,1,0,55,1
66,7,1,0,40,0
46,10,0,1,50,0
21,9,0,0,44,0
32,13,1,0,45,0
24,3,1,0,60,0
53,9,1,1,40,1
59,9,0,0,35,0
20,9,1,1,40,0
32,9,1,0,48,0
47,15,1,0,40,1
37,5,1,0,50,1
32,13,1,0,55,1
20,10,0,0,25,0
46,3,0,0,40,0
37,9,1,0,45,0
47,9,1,0,12,0
