edad,estudio,ingreso
27,9,0
30,9,0
34,8,0
26,13,0
23,4,0
20,10,0
21,10,0
42,9,1
68,9,0
41,10,1
49,3,0
31,10,0
66,11,0
58,9,0
34,13,0
63,13,0
80,9,0
67,16,1
17,8,0
31,13,1
58,4,0
25,10,0
59,9,0
70,5,0
35,13,0
28,9,0
28,9,1
21,10,0
30,9,0
59,10,0
20,9,0
45,4,0
76,4,0
30,6,0
54,9,1
19,10,0
44,16,1
31,10,0
47,9,0
37,9,0
59,13,1
27,7,0
24,9,0
49,10,1
36,14,1
54,13,1
44,10,0
35,10,0
19,9,0
71,9,1
20,10,0
62,9,0
35,9,0
64,5,0
53,1,0
30,10,0
34,13,0
62,13,1
21,10,0
42,9,0
26,10,1
43,10,0
28,13,0
23,13,0
56,9,0
19,10,0
21,9,0
30,14,0
58,13,0
40,9,0
21,10,0
25,5,0
63,14,1
50,14,0
29,9,0
50,9,0
27,14,0
19,5,0
52,16,1
33,9,0
38,10,0
34,10,0
49,9,0
36,10,1
66,7,0
46,10,0
21,9,0
32,13,0
24,3,0
53,9,1
59,9,0
20,9,0
32,9,0
47,15,1
37,5,1
32,13,1
20,10,0
46,3,0
37,9,0
47,9,0
