edad,estudio,horas,clase_salario,valor_salario
27,9,40,0,12967.33
30,9,40,0,20171.40
42,9,40,1,39051.04
68,9,25,1,33567.25
34,8,40,0,8247.42
26,13,50,0,6769.345
23,4,25,0,2266.799
20,10,40,0,17190.41
21,10,15,0,2254.37
41,10,40,0,13464.16
49,3,20,0,19401.31
31,10,40,0,6011.67
66,11,30,1,33573.46
58,9,40,1,26133.39
34,13,55,0,2800.89
63,13,40,1,34331.13
80,9,30,1,42516.45
67,16,60,1,31871.81
17,8,15,1,27096.01
31,13,40,0,5514.84
58,4,40,1,26133.39
25,10,40,0,22158.73
59,9,40,1,26878.64
70,5,40,1,35076.38
35,13,60,0,13489.00
28,9,50,0,3788.34
28,9,45,0,3782.13
21,10,25,0,22140.10
30,9,60,0,5291.26
59,10,40,1,26878.64
20,9,40,0,2285.43
45,4,10,0,16407.89
76,4,12,1,39513.10
30,6,55,1,50000.00
54,9,40,0,23152.40
19,10,30,0,2273.00
44,16,50,0,24655.32
31,10,40,0,6011.67
47,9,40,0,17935.66
37,9,40,0,5514.84
59,13,40,1,31350.14
27,7,40,1,27872.31
24,9,40,0,17190.41
49,10,44,0,19431.12
36,14,60,0,15724.75
54,13,40,1,27623.89
44,10,32,0,15689.97
35,10,60,0,9017.51
19,9,35,0,12215.87
71,9,45,0,6017.88
20,10,40,0,2285.43
62,9,30,0,4260.34
35,9,60,0,13985.84
64,5,40,1,30604.89
53,1,40,0,2533.84
30,10,40,0,5266.42
34,13,39,0,12717.67
62,13,1,0,3230.65
21,10,40,0,17190.41
42,9,40,0,14209.41
26,10,52,1,27141.96
43,10,35,0,14948.45
28,13,35,0,8241.21
23,13,30,0,11712.83
56,9,50,0,9750.34
19,10,24,0,2265.55
21,9,40,0,2285.43
30,14,30,0,11215.99
58,13,40,0,5763.25
40,9,40,0,12718.91
21,10,50,1,27139.48
25,5,40,0,17190.41
63,14,40,1,35821.63
50,14,45,1,26139.60
29,9,45,0,9495.71
50,9,40,0,5266.42
27,14,40,0,8992.67
19,5,40,0,2285.43
52,16,70,1,38094.64
33,9,55,0,7520.80
38,10,50,0,11240.83
34,10,72,1,38097.13
49,9,40,0,19426.15
36,10,55,0,9756.55
66,7,40,1,32095.39
46,10,50,0,17202.83
21,9,44,0,12227.05
32,13,45,0,11234.62
24,3,60,0,2310.27
53,9,40,1,42280.46
59,9,35,1,26872.43
20,9,40,0,2285.43
32,9,48,0,6766.86
47,15,40,1,25388.15
37,5,50,1,40305.55
32,13,55,0,3297.72
20,10,25,0,2266.79
46,3,40,0,17190.41
37,9,45,0,552.72
47,9,12,1,32805.86
